 Tev(Myr)    type      Mo        Mt      log10(L)  log10(R) log10(Teff)  Mc        Menv              epoch      spin                                  
   12.1590    4.0000   15.5866   14.0189    4.9085    2.8619    3.5594    4.4310  7.3539E+00     -0.2725  2.7577E-02
   12.1720    4.0000   15.5866   13.9702    4.9092    2.8630    3.5591    4.4429  7.2789E+00     -0.2725  2.6730E-02
   12.1851    4.0000   15.5866   13.9215    4.9099    2.8641    3.5587    4.4548  7.2038E+00     -0.2725  2.5899E-02
   12.1982    4.0000   15.5866   13.8725    4.9106    2.8652    3.5583    4.4668  7.1287E+00     -0.2725  2.5086E-02
   12.2113    4.0000   15.5866   13.8234    4.9113    2.8663    3.5579    4.4787  7.0537E+00     -0.2725  2.4290E-02
   12.2243    4.0000   15.5866   13.7741    4.9120    2.8674    3.5576    4.4907  6.9786E+00     -0.2725  2.3511E-02
   12.2374    4.0000   15.5866   13.7246    4.9127    2.8685    3.5572    4.5026  6.9035E+00     -0.2725  2.2748E-02
   12.2505    4.0000   15.5866   13.6750    4.9134    2.8696    3.5568    4.5146  6.8284E+00     -0.2725  2.2002E-02
   12.2635    4.0000   15.5866   13.6252    4.9141    2.8707    3.5564    4.5265  6.7534E+00     -0.2725  2.1273E-02
   12.2766    4.0000   15.5866   13.5752    4.9148    2.8718    3.5561    4.5385  6.6783E+00     -0.2725  2.0560E-02
   12.2897    4.0000   15.5866   13.5250    4.9155    2.8729    3.5557    4.5504  6.6033E+00     -0.2725  1.9863E-02
   12.3028    4.0000   15.5866   13.4747    4.9162    2.8741    3.5553    4.5623  6.5283E+00     -0.2725  1.9182E-02
   12.3158    4.0000   15.5866   13.4241    4.9169    2.8752    3.5549    4.5743  6.4532E+00     -0.2725  1.8516E-02
   12.3289    4.0000   15.5866   13.3734    4.9176    2.8763    3.5545    4.5862  6.3783E+00     -0.2725  1.7867E-02
   12.3420    4.0000   15.5866   13.3226    4.9183    2.8775    3.5541    4.5982  6.3033E+00     -0.2725  1.7233E-02
   12.3551    4.0000   15.5866   13.2715    4.9190    2.8786    3.5537    4.6101  6.2283E+00     -0.2725  1.6614E-02
   12.3681    4.0000   15.5866   13.2203    4.9197    2.8797    3.5533    4.6221  6.1534E+00     -0.2725  1.6010E-02
   12.3812    4.0000   15.5866   13.1689    4.9204    2.8809    3.5529    4.6340  6.0786E+00     -0.2725  1.5422E-02
   12.3943    4.0000   15.5866   13.1173    4.9211    2.8820    3.5525    4.6460  6.0037E+00     -0.2725  1.4848E-02
   12.4073    4.0000   15.5866   13.0655    4.9218    2.8832    3.5521    4.6579  5.9289E+00     -0.2725  1.4289E-02
   12.4204    4.0000   15.5866   13.0136    4.9225    2.8843    3.5517    4.6699  5.8541E+00     -0.2725  1.3744E-02
   12.4335    4.0000   15.5866   12.9614    4.9232    2.8855    3.5513    4.6818  5.7794E+00     -0.2725  1.3213E-02
   12.4466    4.0000   15.5866   12.9091    4.9239    2.8867    3.5509    4.6937  5.7048E+00     -0.2725  1.2697E-02
   12.4596    4.0000   15.5866   12.8566    4.9246    2.8878    3.5505    4.7057  5.6301E+00     -0.2725  1.2195E-02
   12.4727    4.0000   15.5866   12.8039    4.9253    2.8890    3.5501    4.7176  5.5556E+00     -0.2725  1.1706E-02
